Age,Sex
161,3
38,1
160,4
22,1
91,6
83,3
83,2
253,6
18,1
69,2
23,2
71,2
53,2
172,9
65,3
53,3
73,1
25,2
81,2
13,1
137,5
122,3
321,6
76,3
19,2
58,2
34,3
21,2
140,7
19,1
47,2
42,2
83,2
44,2
168,6
62,1
40,3
57,2
32,4
62,1
79,2
71,2
27,2
56,1
43,1
26,2
120,5
85,4
18,1
51,3
115,6
135,4
68,3
201,10
46,1
38,1
67,2
162,5
42,6
73,4
118,6
10,1
38,1
13,2
82,2
50,1
182,5
19,2
340,18
25,1
182,5
41,1
14,2
70,2
246,8
91,3
13,2
20,2
15,2
24,2
20,1
121,7
177,5
73,4
96,4
65,3
21,1
53,3
18,1
54,1
24,1
97,6
21,1
112,4
22,2
55,2
115,5
228,12
71,2
47,1
62,3
79,4
216,7
69,1
37,1
56,4
144,4
36,1
21,1
61,1
81,2
111,5
190,5
242,7
27,1
49,2
35,2
218,9
63,2
15,1
73,4
37,1
6,2
26,1
36,2
60,2
50,2
27,1
71,1
17,2
12,2
53,3
30,1
100,6
73,1
38,1
37,2
35,2
39,1
104,6
50,3
49,1
27,2
43,1
16,1
39,2
16,1
21,1
19,1
53,1
19,1
17,1
27,2
18,1
20,2
54,1
59,1
27,1
32,1
87,4
58,4
76,2
22,1
28,1
190,7
20,1
21,1
25,1
50,2
18,2
43,2
33,1
33,1
19,1
22,2
58,1
20,2
17,1
42,1
18,1
111,5
24,1
38,1
34,1
19,2
32,1
53,1
37,1
70,1
72,1
16,1
39,2
20,1
141,3
49,1
23,1
29,2
64,1
46,3
26,1
25,1
19,3
45,1
94,7
32,1
67,4
23,2
18,1
89,4
23,2
59,1
50,1
78,3
64,2
110,3
18,1
30,1
9,1
83,1
90,4
87,2
37,1
110,5
75,6
35,2
66,2
22,2
39,2
165,6
46,1
48,1
78,6
171,6
243,8
58,2
83,2
43,6
20,1
147,4
221,8
236,10
39,2
196,8
1,2
91,2
28,1
106,5
18,1
38,1
42,2
34,1
12,1
59,1
31,2
49,1
82,3
98,5
16,1
215,5
56,2
16,1
14,1
53,1
107,5
188,7
42,2
59,2
110,3
154,4
48,2
155,5
40,2
28,1
85,2
80,2
76,2
76,1
46,3
35,1
27,1
17,1
64,2
106,4
51,1
89,4
26,1
117,4
59,3
40,2
16,1
17,1
54,2
197,6
70,2
120,3
70,6
68,1
85,2
70,2
73,2
205,5
42,2
38,2
24,2
74,2
20,1
26,3
37,2
83,2
36,2
44,2
38,4
10,2
84,3
259,9
112,7
39,1
19,2
59,1
70,2
48,3
47,2
190,11
14,2
45,1
192,7
48,1
23,1
37,1
181,7
158,7
40,2
119,3
18,1
14,2
20,1
19,2
57,3
43,2
49,2
40,1
24,1
60,2
29,1
55,4
38,4
38,1
52,1
68,2
27,1
34,1
27,1
51,2
72,3
80,2
25,2
16,1
43,1
305,13
48,2
31,2
243,11
16,1
60,2
146,4
30,1
39,1
109,7
38,2
56,3
32,2
58,1
34,2
29,1
22,1
45,2
33,1
72,2
21,2
-1,2
49,1
35,1
25,2
18,1
65,2
71,4
46,3
39,1
35,2
35,1
26,1
27,2
63,3
22,1
62,2
18,1
99,5
23,1
75,2
35,1
20,1
89,4
25,2
-1,1
19,1
87,2
65,3
65,1
19,1
63,2
48,2
78,2
19,1
24,1
66,2
59,1
43,1
79,2
47,1
32,1
60,3
42,2
79,4
69,3
63,4
-1,1
68,3
73,3
40,1
36,2
213,8
42,1
163,5
45,3
47,2
27,2
110,3
56,2
88,7
60,2
48,4
54,2
57,1
57,3
130,7
37,2
149,3
103,5
69,3
26,1
41,2
60,2
84,3
49,1
89,1
113,7
42,3
100,4
83,2
108,2
63,5
51,3
26,2
116,5
33,2
226,5
65,2
35,2
55,3
88,4
111,3
136,2
-2,2
35,1
20,2
73,2
58,2
40,3
40,3
85,1
296,5
270,8
215,10
25,1
61,3
-2,3
17,2
161,9
25,1
67,2
101,4
14,1
48,1
49,2
17,1
79,3
231,5
35,2
69,2
8,1
167,3
8,1
39,2
24,1
